时间点,车牌号,经度,纬度,速度,地址
,,103.667199,36.493601,0,甘肃省兰州市永登县中川镇祥和景苑北门西南约104米
,,103.667148,36.492500,0,甘肃省兰州市永登县中川镇祥和景苑西南约82米
,,103.667137,36.491899,0,甘肃省兰州市永登县中川镇兰州新区惠康中西医结合医院-急诊东北约91米
,,103.667107,36.491869,0,甘肃省兰州市永登县中川镇兰州新区惠康中西医结合医院-急诊东北约86米
,,103.667087,36.491848,0,甘肃省兰州市永登县中川镇兰州新区惠康中西医结合医院-急诊东北约83米
,,103.666938,36.491676,0,甘肃省兰州市永登县中川镇兰州新区惠康中西医结合医院-急诊东北约60米
,,103.666728,36.491622,0,甘肃省兰州市永登县中川镇兰州新区惠康中西医结合医院-急诊
,,103.665611,36.491604,0,甘肃省兰州市永登县中川镇金龙驰汽车养护东南约55米
,,103.664922,36.491533,0,甘肃省兰州市永登县中川镇停车场
,,103.664703,36.491499,0,甘肃省兰州市永登县中川镇停车场
,,103.663317,36.491456,0,甘肃省兰州市永登县实验幼儿园新区分园
,,103.661442,36.491393,0,甘肃省兰州市永登县中川镇第11中学新区分校东南约76米
,,103.659229,36.491354,0,甘肃省兰州市永登县中川镇第11中学新区分校西南约122米
,,103.656648,36.491327,0,甘肃省兰州市永登县中川镇民烟民酒西北约294米
,,103.654216,36.491204,0,甘肃省兰州市永登县引大灌区中心苗圃东南约283米
,,103.652163,36.491167,0,甘肃省兰州市永登县引大灌区中心苗圃东南约161米
,,103.650857,36.491084,0,甘肃省兰州市永登县引大灌区中心苗圃西南约168米
,,103.650588,36.491070,0,甘肃省兰州市永登县引大灌区中心苗圃西南约179米
,,103.650567,36.491069,0,甘肃省兰州市永登县引大灌区中心苗圃西南约179米
,,103.650388,36.491036,0,甘肃省兰州市永登县引大灌区中心苗圃西南约191米
,,103.650159,36.490913,0,甘肃省兰州市永登县引大灌区中心苗圃西南约214米
,,103.649979,36.490919,0,甘肃省兰州市永登县引大灌区中心苗圃西南约223米
,,103.648294,36.490971,0,甘肃省兰州市永登县中川镇经4路
,,103.646589,36.490974,0,甘肃省兰州市永登县中川镇经4路
,,103.644445,36.490881,0,甘肃省兰州市永登县中川镇经4路
,,103.642240,36.490791,0,甘肃省兰州市永登县中川镇鑫通驾校东北约247米
,,103.640174,36.490795,0,甘肃省兰州市永登县中川镇鑫通驾校西北约295米
,,103.639676,36.490799,0,甘肃省兰州市永登县中川镇鑫通驾校西北约322米
,,103.639646,36.490788,0,甘肃省兰州市永登县中川镇鑫通驾校西北约322米
,,103.639626,36.490758,0,甘肃省兰州市永登县中川镇鑫通驾校西北约322米
,,103.639645,36.490598,0,甘肃省兰州市永登县中川镇鑫通驾校西北约307米
,,103.639705,36.490559,0,甘肃省兰州市永登县中川镇鑫通驾校西北约300米
,,103.640274,36.490416,0,甘肃省兰州市永登县中川镇鑫通驾校西北约255米
,,103.641611,36.490392,0,甘肃省兰州市永登县中川镇鑫通驾校西北约204米
,,103.643537,36.490548,0,甘肃省兰州市永登县中川镇经4路
,,103.645732,36.490651,0,甘肃省兰州市永登县中川镇经4路
,,103.647546,36.490649,0,甘肃省兰州市永登县中川镇经4路
,,103.648863,36.490681,0,甘肃省兰州市永登县引大灌区中心苗圃西南约311米
,,103.649371,36.490759,0,甘肃省兰州市永登县引大灌区中心苗圃西南约272米
,,103.649550,36.490752,0,甘肃省兰州市永登县引大灌区中心苗圃西南约261米
,,103.649720,36.490725,0,甘肃省兰州市永登县引大灌区中心苗圃西南约254米
,,103.650637,36.490640,0,甘肃省兰州市永登县引大灌区中心苗圃西南约221米
,,103.652062,36.490705,0,甘肃省兰州市永登县引大灌区中心苗圃东南约207米
,,103.654165,36.490792,0,甘肃省兰州市永登县引大灌区中心苗圃东南约306米
,,103.656258,36.490870,0,甘肃省兰州市永登县中川镇民烟民酒西北约298米
,,103.658710,36.490944,0,甘肃省兰州市永登县中川镇新时代文体西北约129米
,,103.660953,36.490994,0,甘肃省兰州市永登县中川镇第11中学新区分校东南约58米
,,103.663107,36.491062,0,甘肃省兰州市永登县实验幼儿园新区分园
,,103.664922,36.491123,0,甘肃省兰州市永登县中川镇3顺烤肉面片
,,103.666418,36.491207,0,甘肃省兰州市永登县中川镇兰州新区惠康中西医结合医院
,,103.667057,36.491228,0,甘肃省兰州市永登县中川镇兰州新区乾元房地产开发有限公司
,,103.668154,36.491234,0,甘肃省兰州市永登县中川镇骨里香熟食店
,,103.669911,36.491321,0,甘肃省兰州市永登县中川镇昕昕名烟名酒西北约72米
,,103.671598,36.491364,0,甘肃省兰州市永登县中川镇兰州银行ATM西北约94米
,,103.672657,36.491388,0,甘肃省兰州市永登县中川镇紫云街A2号楼111号7/8层
,,103.673097,36.491403,0,甘肃省兰州市永登县中川镇银座足疗养生会所
,,103.673996,36.491424,0,甘肃省兰州市永登县中川镇银都水岸
,,103.675065,36.491466,0,甘肃省兰州市永登县中川镇兰州新区舞弦舞蹈培训学校东北约71米
,,103.676444,36.491521,0,甘肃省兰州市永登县兰州新区第九小学
,,103.677834,36.491544,0,甘肃省兰州市永登县中川镇公厕西北约80米
,,103.679445,36.491548,0,甘肃省兰州市永登县中川镇贵清山路与纬二路交叉口东北约55米
,,103.680166,36.491563,0,甘肃省兰州市永登县中川镇兰石睿智游泳馆西北约67米
,,103.680596,36.491586,0,甘肃省兰州市永登县中川镇白龙江街777号兰石·睿智名居西北约55米
,,103.681888,36.491644,0,甘肃省兰州市永登县兰州新区第8幼儿园
,,103.683711,36.491623,0,甘肃省兰州市永登县中川镇兰州新区第1初级中学东南约72米
,,103.684121,36.491625,0,甘肃省兰州市永登县中川镇兰州新区第1初级中学东南约85米
,,103.685474,36.491649,0,甘肃省兰州市永登县中川镇兰州新区索道滑水公园酒店餐厅西北约139米
,,103.687349,36.491663,0,甘肃省兰州市永登县中川镇兰州新区索道滑水公园酒店餐厅
,,103.689296,36.491693,0,甘肃省兰州市永登县中川镇兰州新区水上漂索道滑水公园东南约163米
,,103.691163,36.491721,0,甘肃省兰州市永登县中川镇兰石集团装备制造产业园西南约88米
,,103.692830,36.491726,0,甘肃省兰州市永登县中川镇兰石集团装备制造产业园东南约74米
,,103.693563,36.491733,0,甘肃省兰州市永登县中川镇兰石集团装备制造产业园东南约136米
,,103.693965,36.491742,0,甘肃省兰州市永登县中川镇兰石集团装备制造产业园东南约171米
,,103.695231,36.491745,0,甘肃省兰州市永登县兰州兰石重型装备股份有限公司东北约208米
,,103.696800,36.491746,0,甘肃省兰州市永登县兰州兰石重型装备股份有限公司东北约272米
,,103.698308,36.491735,0,甘肃省兰州市皋兰县兰州兰石集团有限公司西北约292米
,,103.699465,36.491696,0,甘肃省兰州市皋兰县兰州兰石集团有限公司东北约284米
,,103.699928,36.491702,0,甘肃省兰州市皋兰县兰州兰石集团有限公司东北约293米
,,103.701055,36.491702,0,甘肃省兰州市皋兰县兰州兰石石油装备工程有限公司西北约316米
,,103.703028,36.491712,0,甘肃省兰州市皋兰县兰州兰石石油装备工程有限公司东北约290米
,,103.705465,36.491734,0,甘肃省兰州市皋兰县西岔镇白岘子西北约253米
,,103.708074,36.491722,0,甘肃省兰州市皋兰县西岔镇白岘子
,,103.710744,36.491746,0,甘肃省兰州市皋兰县西岔镇白岘子东北约227米
,,103.713355,36.491748,0,甘肃省兰州市皋兰县西岔镇花卉贸易中心东南约201米
,,103.715501,36.491707,0,甘肃省兰州市皋兰县西岔镇花卉贸易中心东南约309米
,,103.717487,36.491608,0,甘肃省兰州市皋兰县西岔镇安家窑西南约318米
,,103.718394,36.491544,0,甘肃省兰州市皋兰县西岔镇安家窑西南约240米
,,103.718666,36.491430,0,甘肃省兰州市皋兰县西岔镇安家窑西南约222米
,,103.718786,36.491348,0,甘肃省兰州市皋兰县西岔镇安家窑西南约215米
,,103.718867,36.491247,0,甘肃省兰州市皋兰县西岔镇安家窑西南约214米
,,103.719128,36.490803,0,甘肃省兰州市皋兰县西岔镇安家窑西南约223米
,,103.719239,36.490731,0,甘肃省兰州市皋兰县西岔镇安家窑西南约222米
,,103.719370,36.490679,0,甘肃省兰州市皋兰县西岔镇安家窑西南约218米
,,103.719541,36.490647,0,甘肃省兰州市皋兰县西岔镇安家窑西南约211米
,,103.721033,36.490635,0,甘肃省兰州市皋兰县西岔镇安家窑东南约169米
,,103.721748,36.490555,0,甘肃省兰州市皋兰县西岔镇安家窑东南约191米
,,103.721879,36.490483,0,甘肃省兰州市皋兰县西岔镇安家窑东南约203米
,,103.721959,36.490372,0,甘肃省兰州市皋兰县西岔镇安家窑东南约217米
,,103.722180,36.489848,0,甘肃省兰州市皋兰县西岔镇兰州体育学院东门西北约242米
,,103.722491,36.488272,0,甘肃省兰州市皋兰县西岔镇兰州体育学院东门西南约227米
,,103.722972,36.486284,0,甘肃省兰州市皋兰县西岔镇纬1路
,,103.723494,36.483925,0,甘肃省兰州市皋兰县西岔镇纬1路
,,103.724105,36.481134,0,甘肃省兰州市皋兰县西岔镇纬1路
,,103.724919,36.478951,0,甘肃省兰州市皋兰县西岔镇纬1路
,,103.725200,36.478437,0,甘肃省兰州市皋兰县西岔镇纬1路
,,103.726618,36.476477,0,甘肃省兰州市皋兰县西岔镇兰州国际嘉年华文化旅游产业园西北约890米
,,103.728278,36.474895,0,甘肃省兰州市皋兰县西岔镇兰州国际嘉年华文化旅游产业园西北约668米
,,103.730258,36.473591,0,甘肃省兰州市皋兰县西岔镇兰州国际嘉年华文化旅游产业园西北约442米
,,103.732349,36.472618,0,甘肃省兰州市皋兰县西岔镇兰州国际嘉年华文化旅游产业园西北约226米
,,103.734721,36.471816,0,甘肃省兰州市皋兰县西岔镇兰州国际嘉年华文化旅游产业园
,,103.737823,36.470852,0,甘肃省兰州市皋兰县西岔镇兰州国际嘉年华文化旅游产业园东南约303米
,,103.741384,36.469743,0,甘肃省兰州市皋兰县西岔镇入口东北约570米
,,103.744820,36.468704,0,甘肃省兰州市皋兰县西岔镇入口东北约739米
,,103.748082,36.467685,0,甘肃省兰州市皋兰县西岔镇入口东北约723米
,,103.751481,36.466645,0,甘肃省兰州市皋兰县西岔镇入口东北约707米
,,103.754357,36.465760,0,甘肃省兰州市皋兰县西岔镇入口东北约803米
,,103.758027,36.464619,0,甘肃省兰州市皋兰县西岔镇秦家沟东北约883米
,,103.760947,36.463748,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.763974,36.462574,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.764591,36.462251,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.765755,36.461477,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.767038,36.460224,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.767894,36.459015,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.768759,36.457027,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.769534,36.454417,0,甘肃省兰州市皋兰县西岔镇水罗公路
,,103.770409,36.451529,0,甘肃省兰州市皋兰县西岔镇窝窝井支渠西南约853米
,,103.771404,36.448234,0,甘肃省兰州市皋兰县西岔镇窝窝井支渠西南约971米
,,103.772231,36.445446,0,甘肃省兰州市皋兰县西岔镇
,,103.773236,36.442171,0,甘肃省兰州市皋兰县西岔镇上窝窝井东北约837米
